Firm Name,Investment Sector,Location (City),Investment Stage,URL
WME Ventures,"Consumer Discretionary, Food and Agriculture, Information Technology, Telecoms, Media, and Communications","Los Angeles, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.wmeentertainment.com
Women's Ventures Fund,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Portland, OR",Early Stage,www.womensvcfund.com
Wonder Ventures,"Business Services, Clean Technology, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Santa Monica, CA","Early Stage, Early Stage: Seed",www.wondervc.com
Work America Capital Management,"Technology, Consumer Services, Media, Leisure, Gaming","Houston, TX","Early Stage, Start-up",https://www.linkedin.com/company/work-america-capital/
Work-bench ventures,"Business Services, Healthcare, Information Technology, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Start-up",www.work-bench.com
XFactor Ventures,Diversified,"San Francisco, CA","Early Stage, Seed",www.xfactor.ventures
Xfund,"Telecoms, Healthcare, Communications, Media, IT, Energy","Cambridge, MA","Seed, Start-up, Expansion / Late Stage",http://www.xfund.com
XG Ventures,"Business Services, Consumer Discretionary, Energy and Utilities, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.xg-ventures.com
Xplorer Capital,"Information Technology, Telecoms, Media, and Communications","Belmont, CA","Expansion / Late Stage, Growth",www.xplorercapital.com
XSeed Capital,"Business Services, Clean Technology, Healthcare, Information Technology, Telecoms, Media, and Communications","Portola Valley, CA","Early Stage, Early Stage: Seed, Growth",www.xseedcap.com
Xsolla Capital,Gaming,"Sherman Oaks, CA",Venture (General),www.xsolla.com/capital/
XYZ Capital,"Business Services, Information Technology","San Francisco, CA",Early Stage: Start-up,www.xyz-ventures.com
yet2Ventures,Materials,"Wilmington, DE","Growth, Secondaries, Venture (General)",http://www.yet2ventures.com
YL Ventures,"Business Services, Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","Mill Valley, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.ylventures.com
Zeev Ventures,"Business Services, Diversified, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Early Stage, Early Stage: Seed, Expansion / Late Stage, Venture (General)",www.zeevventures.com
